encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
jxl,30,img055,193772,0.590,0.940,0.270,671992
jxl,50,img055,390470,0.610,0.990,0.290,680496
jxl,70,img055,615368,0.640,1.020,0.310,688252
jxl,90,img055,921722,0.620,0.930,0.310,691628
webp,60,img056,449556,2.150,2.140,0.080,113152
webp,75,img056,572704,2.120,2.120,0.060,113152
webp,90,img056,1294270,2.260,2.240,0.090,113280
avif,28,img056,117616,0.780,1.360,0.160,326808
avif,36,img056,185803,0.810,1.500,0.150,331668
avif,44,img056,358011,0.950,2.010,0.190,340120
jxl,30,img056,288458,0.850,1.390,0.450,920272
jxl,50,img056,376808,0.790,1.220,0.390,922972
jxl,70,img056,638819,0.810,1.330,0.420,931976
jxl,90,img056,1097012,0.780,1.230,0.380,937740
webp,60,img057,1435798,4.100,3.740,0.100,170112
webp,75,img057,1906268,4.060,4.010,0.140,170112
webp,90,img057,4835050,4.590,4.540,0.120,170112
avif,28,img057,286211,1.210,2.270,0.190,419772
avif,36,img057,385064,1.310,2.650,0.200,426552
avif,44,img057,564251,1.470,3.120,0.200,442296
jxl,30,img057,722559,1.200,1.860,0.500,1277936
jxl,50,img057,986633,1.230,1.920,0.550,1286692
jxl,70,img057,1559924,1.260,1.960,0.560,1307156
jxl,90,img057,4086506,1.330,2.140,0.580,1372184
webp,60,img058,280962,1.360,1.220,0.040,64256
webp,75,img058,359572,1.290,1.280,0.030,64256
webp,90,img058,914778,1.450,1.440,0.040,64384
avif,28,img058,64855,0.430,0.750,0.080,176332
avif,36,img058,87758,0.470,0.850,0.070,180060
avif,44,img058,125969,0.510,0.990,0.080,185032
jxl,30,img058,210306,0.460,0.690,0.210,477092
jxl,50,img058,270572,0.440,0.650,0.200,478312
jxl,70,img058,389912,0.470,0.720,0.210,481708
jxl,90,img058,961287,0.470,0.720,0.210,496420
webp,60,img059,363586,2.220,2.220,0.040,104960
webp,75,img059,493984,2.240,2.250,0.050,104832
webp,90,img059,1567764,2.880,2.860,0.080,104960
avif,28,img059,76590,0.770,1.280,0.130,256904
